주제,내용,길이
BTS의 정체성5,"밴드 내에서는 메인래퍼 RM과 리드 래퍼 슈가를 중심으로 한 래퍼 라인(슈가, 제이홉, RM), 메인 보컬 정국과 리드 보컬 지민을 중심으로 한 보컬 라인(진, 지민, 뷔, 정국), 메인 댄서 제이홉과 지민을 중심으로 한 댄스 라인(제이홉, 지민, 뷔, 정국)으로 흔히 구분된다.
멤버들의 성격도 흥이 넘치는 것으로 유명하다. 유튜브 BANGTAN TV 채널을 통한 방탄밤(BANGTAN BOMB)이라는 이름으로 올라오는 영상에서 멤버들이 노는 모습, 장난치는 모습 등 흥이 가득한 모습을 볼 수 있다.",281
BTS의 컨셉트1,"전반적으로 10대와 20대 청춘들의 생각과 고민, 삶과 사랑, 꿈과 역경을 주요 주제로 하는 노래들을 통해 자신들만의 세계관을 구축하고 있으며, 연계되는 이야기를 다양한 뮤직비디오들을 통해 유기적으로 풀어 나가는 모습을 보여준다.
학교 시리즈 3부작인 《2 COOL 4 SKOOL》, 《O!RUL8,2?》, 《SKOOL LUV AFFAIR》에서는 앨범 이름에서도 느낄 수 있듯 10대들이 느끼는 삶, 사랑, 사회의 강요와 부조리함들을 10대 때부터 꽤 치열하게 살아온 그들의 시각과 에너지로 표현하고 있다.",283
BTS의 컨셉트2,"미니앨범 3집 《화양연화 pt.1》을 기점으로 20대 청춘들의 고충을 드러내 보이기 시작했는데 실제로도 이 앨범 활동 때부터 멤버들이 전보다 좀 더 성숙해졌음을 느낄 수 있다. 이때부터 N포 세대, 열정페이, 수저계급론으로 대표되는 사회불평등, 지역감정 등 대학생 이상의 청춘들이 겪기 시작하는 이야기들이 가사에 등장한다.
방탄소년단의 첫 대상 수상작이자 본격적으로 이름을 세계에 알리게 해준 정규 2집 앨범 《WINGS》[33]로 넘어가면서는 성장한 음악성과 더불어 청춘이 성장하면서 겪는 고통과 유혹 그리고 성숙에 관해서 이야기한다. 때때로 노래 가사에서 특정 지명이나 상표를 직접 언급하는 때도 있어 지상파 방송 불가 판정을 받기도 하지만 일부 앨범 수록곡에 해당하는 사항이다.",382
BTS의 컨셉트3,"정규 2집 리패키지 앨범 《YOU NEVER WALK ALONE》은 《WINGS》의 후속 앨범으로 《WINGS》의 앨범 수록곡과 더불어 '봄날', 'Not Today', 'Outro : Wings', 'A Supplementary Story : You Never Walk Alone'을 추가 수록시켜 발매했다. ""함께라면 웃을 수 있어""라는 메세지를 담으며 이 시대를 살아가는 청춘에게 건네는 ""위로""와 ""희망""을 담았다. 특히 타이틀 곡인 '봄날'은 발매 후 팬들과 대중들의 지속적인 사랑을 받아서 수년간 멜론 차트 100위 안에 머물며 역대 최장기간 차트인한 노래가 되었다.",323
BTS의 컨셉트4,"LOVE YOURSELF 시리즈는 (승, 전, 결) 총 3부작으로 순수한 소년이 사랑을 시작할 때의 감정을 담은 《LOVE YOURSELF 承 'Her'》 앨범과 이별에 대한 방탄소년단의 견해와 이중적인 메세지를 담은 《LOVE YOURSELF 轉 'Tear'》 앨범, 결국 나를 사랑하는 것이 진정한 사랑의 시작이라는 메세지를 담은 《LOVE YOURSELF 結 'Answer'》 앨범으로 3부작의 막을 성공적으로 내린다. 기승전결(起承轉結)을 의미하는 한자를 하나씩 앨범에 사용했는데, '기(起)'의 행방을 알고 싶다면 LOVE YOURSELF 起 'Wonder' 참조.",321
BTS의 컨셉트5,"《BTS WORLD OST》는 총 4개로 이루어져 있다. 'Dream Glow'는 진, 지민, 정국, Charli XCX의 유닛곡이다. 희망적인 가사를 통해 꿈은 꾸는 동안 가장 행복한 것이며, 꿈을 꾸고 있다면 아직 포기한 게 아니라는 내용을 담고 있다. 'A Brand New Day'는 뷔, 제이홉, Zara Larsson이 함께 했으며 도입부부터 유니크한 음색이 돋보인다. 두렵고 무서운 마음이 있지만 내 안의 목소리에 집중하면 꿈을 이룰 수 있다는 의지를 노래했다. 'All Night'은 RM, 슈가, Juice WRLD가 공동 작업한 노래로 90년대 감성을 느낄 수 있는 곡이다. 방탄소년단이 꿈을 향해 밤낮없이 달려가는 모습을 노래한다. 전반적으로 희망적인 메세지를 담고 있다.",387
BTS의 컨셉트6,"MAP OF THE SOUL 시리즈'는 《MAP OF THE SOUL : PERSONA》 앨범에서 팬들에 대한 사랑을, 《MAP OF THE SOUL : 7》 앨범에서는 데뷔 8년차(만 7년)가 된 방탄소년단이 자신을 돌아보는 이야기가 진행되고 있다.
'Dynamite'가 빌보드 핫 100 1위를 함으로써 대한민국에 가져다주는 경제효과는 최소 1조 7천억원이라고 추정되며, 코로나19로 전세계인들이 고통을 받는 시기에 'Dynamite'가 가지는 의미와 영향력은 상당하다. 가히 전세계인의 마음을 치유해주는 감성 백신이라고 불릴 만하다. # 이렇게 전세계적으로 팬덤과 대중을 모두 사로잡은 방탄소년단은 명실상부 월드와이드 슈퍼스타가 되었다.",359
BTS의 빌보드 Hot 1위 곡,"제목, 1위 기간, 차트인
Dynamite, 3주, 32주
Savage Love (Laxed - Siren Beat) - BTS Remix, 1주, 1주
Life Goes On, 1주, 3주
Butter, 10주, 20주
Permission to Dance, 1주,  7주
My Universe, 1주, 17주",173
BTS의 빌보드 Hot 2위~10위곡,"제목, 1위 기간, 차트인
FAKE LOVE, 10위, 6주
작은 것들을 위한 시 (Boy With Luv), 8위, 8주
ON, 4위, 2주
Bad Decisions, 10위, 5주",102
BTS의 유투브 MV 최고조회 수,"2020년 유튜브 최다 조회수 1위(49억 6,500만뷰)
2020-10-27

BLACKPINK 다음으로 K-POP 가수 중에서 최정상급의 유튜브 조회수를 기록하고 있다. 방탄소년단의 'Butter'는 '유튜브 영상 시사회 최다 시청자 수', '유튜브 MV 시사회 최다 시청자 수' 390만 명 그리고 24시간 내 유튜브 1억 820만뷰를 달성하여 '유튜브 MV 24시간 최다 조회수', '유튜브 K팝 밴드 MV 24시간 최다 조회수' 기록 등이 기네스 세계기록에 등재되었다. 지난 뮤직비디오들의 조회수도 꾸준히 증가하는 편인데 컴백 때마다 꾸준히 국내외적으로 팬덤이 확장되고 있기 때문으로 보인다. 특히나 급격한 성장세를 보이는 해외 팬덤으로 인해 데뷔 초기의 뮤직비디오들도 꾸준한 조회수 증가세를 보이고 있다.

방탄소년단의 뮤직비디오가 세계적인 인기를 끌며 ""K-POP 밴드 유튜브 조회수 상위권""을 다수 차지했고[75], 앞으로도 계속 상위권을 장악할 것으로 보인다.",490
BTS의 홍보대사,"2017년부터 5년 연속 서울특별시 관광 명예홍보대사. 어기영차 서울편
2017년, 유니세프 한국위원회 사회변화 캠페인 '러브 마이셀프', 아동 및 청소년 폭력 근절 캠페인 엔드 바이올런스에 참여했다.
2020년, 서울 E-프리 홍보 관련하여 포뮬러 E 글로벌 앰버서더가 되었다.
2021년, LVMH사의 대표 명품 브랜드인 루이비통의 글로벌 앰버서더로 선정되었으며, 멤버 전원이 동시에 같은 명품 브랜드의 글로벌 앰버서더가 된 경우는 전세계 최초이다.
2022년, 부산 엑스포 홍보대사가 되어서 2030 엑스포 부산광역시 유치 기원 하는 단독 콘서트를 개최했다.",315
BTS 관련 어록,"세계에서 가장 인기 많은 아티스트가 서양의 아티스트가 아니라 한국어를 하는 아티스트라는 게 나에게 매우 특별하게 다가온다. 전세계가 하나의 가족이라는 측면에서 희망적으로 생각한다. 그들을 한 사람으로 들여다보고 그들의 음악을 들어보면 자신을 찾고 내 자신이 되자는 연대의 메세지가 담겨있다. 모든 면에서 내 생각과 일치한다.
콜드플레이의 크리스 마틴#
우리가 겪었던 것들을 겪는 몇몇 젊은이들을 봤다. 방탄소년단, 한국 친구들! 그들을 지켜보는 걸 좋아한다.
비틀즈의 폴 매카트니#
그들은 보통 가수가 아니다. 방탄소년단은 노래, 춤, 외모까지 모든 조건을 갖춘 친구들
조용필#
이제는 너희들의 시대다.
서태지#
",343
BTS 관련 어록2,"BTS는 놀라운 재능을 지닌 굉장한 밴드다. 여러분의 퍼포먼스를 보게 되어 너무 좋았다.
X JAPAN의 요시키#
방탄소년단이 참가한 SDG모먼트가 성공적으로 치러져 총회가 성공한 것과 다름없다. 내가 연설했으면 방탄소년단과 같은 그런 파급효과를 내지 못했을 것이다.
안토니오 구테흐스 유엔 사무총장#
얼마 전에 작곡을 하나 했는데, 재능 넘치는 사람들에 의해 세계 무대에서 불려져서 정말 기쁘다.
영국 싱어송라이터 에드 시런#
BTS(방탄소년단)는 정말 기특하죠. 저번에 DADDY 활동을 할 때 음악 방송에서 몇 번 봤거든요. 리허설 할 때도 그렇고 춤추는 게 정말 애들이 뼈가 끊어지겠더라고요. 너무 열심히하는 이쁜 기특한 후배들이고 이들의 스코어는 괄목할만하고 앞으로도 좀 더 갈 것 같더라고요.
싸이, 8집 발매 기자회견에서#
BTS(방탄소년단) 영향력은 저의 3000배가 넘는다.
영화 감독 봉준호#
",454
BTS 관련 어록3,"나에게 가장 자극되는 후배는 바로 방탄소년단이다. 그 친구들이 글로벌하게 사랑 받는 이유가 무엇일까. 특히 우리말 가사로 세계에 진출했는데 미국 사람들이 환호하지 않냐. 거기서 배울점이 무엇인지 찾아보기도 한다.
이문세#
당신들의 그들에 대해 어떤 의견을 가지고 있던 간에 저는 상관하지 않아요. 이해를 못하던 상관없고 본인 의견은 누구나 있는거니까, 하지만 방탄소년단이 인간으로써 보려주는 행동들과 세상에 던지는 메세지들은 특별합니다.
WWE 슈퍼 스타 존 시나#
방탄소년단은 놀라운 재능과 헌신으로 정상에 올랐다. 방탄소년단의 노래 뒤에는 자신감에 대한 긍정의 메시지가 담겨있으며 음악 산업에도 돌풍을 일으켰다.
할시, TIME100 선정 추천사#",364
BTS 관련 어록4,"태어나 처음으로 한국어로 불러본다. 노래가 어떤 언어로 되어 있든 아름답다고 느낀다면 그것은 아름다운 것이다. 진정으로 아름다운 곡은 언어에 구애받지 않는다.
보이즈 투 맨의 숀 스톡맨#
솔직히 나는 그들이 무언가를 위해 연습하는 것을 볼 수 있었고 내가 여태까지 본 것 중 가장 놀라운 것이었다. 농담이 아니다. 난 비명을 질렀다. 그것에 대해 이야기하는 걸 멈출 수 없었다.
아리아나 그란데#
역사를 만들 줄 아는 사람이 있다면 그것은 바로 방탄소년단이다. 이 K-POP 밴드는 글로벌 음악 산업 전반에 걸쳐 신기록을 만들어나가고 있다.
저스틴 비버#
인터네셔널 슈퍼스타라는 말로도 부족한 밴드다.
체인스모커스, AMAs에서 방탄소년단을 소개하며#
방탄소년단이 런던 웸블리 스타디움에서 콘서트를 연 일을 기억한다. 아시아를 넘어 전세계로 뻗어나간 K-POP은 매우 창의적이고 독특한 소리를 낸다.
U2의 애덤 클레이턴#",460
BTS 관련 어록5,"방탄소년단은 단순히 차트 성적이 가장 좋았던 K-POP 밴드가 아니라 전 세계에서 가장 큰 밴드가 됐다. 2020년 여러 앨범을 냈고, 모든 종류의 기록을 깼고, 즉흥 라이브 스트리밍에 등장하면서 팝스타 반열의 정점에 올라섰다.
TIME, 올해의 엔터테이너를 선정하며#
가장 눈에 띄는 후배는 방탄소년단이다. 제일 먼저 떠올리지 않을 수 없다. 워낙 잘하기 때문에.
저도 역시 방탄소년단이다. 방탄소년단이 무대 위에서 무대를 집어삼키려는 모습이 인상적이었다. 열정이 돋보인다.
동방신기의 최강창민, 유노윤호
제가 평생 본 사람들 중에 가장 아름다운 남성 분들인 것 같아요.
션 멘데스#",327
BTS의 국내 수상,"2016년 MMA 올해의 앨범상, MAMA 올해의 가수상을 시작으로 2023년 1월까지 총 77개의 대상을 수상했으며, 2018년엔 화관문화훈장도 수훈했다. 2019년에는 멜론 뮤직 어워드, 엠넷 아시안 뮤직 어워드, 골든디스크어워즈에서 역대 최초로 모든 부문 대상을 수상하는 가수가 되었다. 아래는 한국에서 가장 인지도 높은 시상식에서의 대상 수상 목록이다.[1]",204
BTS의 해외 수상,"미국의 3대 시상식이라고 불리는 '그래미 어워드, 아메리칸 뮤직 어워드, 빌보드 뮤직 어워드'와 MTV 비디오 뮤직 어워드, 영국의 브릿 어워드 등 해외 주요 시상식의 수상 실적 기록이다.[5]
방탄소년단은 2017년 BBMA에서 'Top social Artist'상 수상을 시작으로, 미국 및 전세계에서 인지도와 팬덤을 급속도로 늘려가며 2021년에는 K-POP 가수 최초로 Grammy에서 노미네이트 및 단독무대를 하는 등 수 많은 업적을 달성해 나가고 있다.
2021년, 제 49회 American Music Awards에서 아시아 가수 최초로 대상 격인 올해의 아티스트상(Artist of the Year)을 수상했다.",350
BTS의 세계관 BU의 특징1,"방탄소년단이 지금까지 선보인 콘텐츠를 종합해보았을 때, 스토리가 존재하며 이를 표현하기 위한 앨범마다의 명확한 콘셉트가 분명 존재하는 것으로 보인다.
위의 로고는 WINGS 시리즈의 콘셉트와 기획 의도, 인터뷰 등등을 총망라한 굿즈인 'BTS WINGS CONCEPT BOOK''의 뒷면에 처음 등장했다. 그후 화양연화 THE NOTES에 다시 등장. 피 땀 눈물, WINGS SHORT FILM 등의 뮤직비디오의 설명란에도 'BU content certified by Big Hit Entertainment'라고 적혀 있는 것을 확인할 수 있다. 어쩌면 방탄소년단의 스토리텔링과 관계된 콘텐츠에만 적용된 것이라는 설이 가장 유력하다.",355
BTS의 세계관 BU의 특징2,"BTS Universe의 약자인 것으로 추측되나 정확히 밝혀진 것은 없다. 종합하자면 BU 로고/설명이 첨부된 것은 스토리/설정과 관계가 있다는 것.[1]
세계관에 대해서는 아직 확실하지 않지만 이 문서는 스토리와 캐릭터 설정이 세계관 하에 구축된 것이라는 전제 하에 작성한다. 공식 콘텐츠를 기반으로 하며, 개별 음반 콘셉트가 아닌 첫 앨범부터 현재까지를 관통하는 큰 틀만을 다룬다.
대체적으로 화양연화 트릴로지부터 이 세계관이 시작되었다고 추측되고 있어 정확한 콘셉트가 학교 3부작에서는 만들어지지 않았거나 준비 단계였다고 생각된다.
BU(BTS Universe) 드라마 '유스(YOUTH)'[2]가 공개 될 예정이다. #",350
