주제,내용,길이
국선도의 단체,"4.1. 국선도의 본원(本源)
국선의 맥을 이어 온 선인들의 뜻을 받들어 1967년 청산선사께서 하산하여 국선도의 사회 보급이 시작되었다. 1970년 음력 3월 15일 청산선사께서 국선도 본원을 개원하여 본원 수련장을 기반으로 사회 각처에 보급 활동을 시작하였는데 국선도법의 근원이 되는 국선정신을 보존하고 도법의 올바른 가르침을 펼치는 국선도의 원천이라는 의미에서 본원(本源)이라 하였다.국선도의 현대사를 보면 다양한 단체로 분화발전한 것을 볼 수 있다.그럼에도 불구하고 명확한 법통과 도맥을 유지해오고 있으며, 국선도의 현대사에 대해서는 국선도본원의 밝문화연구소에서 출판한 '청산, 갈대밭에 콩심다' (청산뮤지엄 전시내용을 담은 기록)에 자세하게 나와있다.
4.2. 국선도의 고유권한
청산선사가 책자, 육성, 영상물, 사진, 친필 메모 등으로 밝힌 국선도(밝돌법) 수련에 관련한 모든 지적재산 및 국선도(밝돌법)의 명칭, 마크와 심볼 등의 상표 일체는 국선도본원의 (사)국선도법연구회가 고유 권한을 보유하고 유일하게 사용 권한을 가지고 있으며, 국선도법의 정통성과 원뜻을 잃지 않도록 보존하고 관리되고 있다.국선도본원의 명의로 발급되는 수료증, 승단증, 도단증, 지도자 임명장 등의 자격증서는 국선도본원 세계본부가 세계적으로 발급하는 유일한 공인 자격증입니다. 그 고유성을 보존하기 위하여 국선도본원에서는 2022년부터 도단증과 지도자 자격증을 블록체인 증서로 발급하기 시작하였다.",719
국선도의 기혈순환유통법,"기혈순환유통법(준비운동)
훈을 먼저 외치고 단전행공에 들어가기 전에 몸을 풀어주는 동작들이다. 말이 준비운동이지 처음 하는 사람은 웬만한 운동 저리 가라 할 만큼 힘들다. 초인적인 고난도 동작이 있어서 그런 것은 아니고 평소에 취하지 않던 동작을 취하고 풀리지 않았던 곳곳의 근육, 관절, 인대 등을 풀어주기 때문에 익숙해지기 전까지는 힘들 수 있다.기혈순환유통법만 해도 건강만큼은 지킨다고 할 정도로 기혈 순환과 양생에 크게 도움이 되는 운동이다. 기혈순환유통법 시 주의점은 다음과 같다. 
항상 허리는 반듯하게 펼 것. 
모든 동작을 할 때 숨을 마시고 멈춘 뒤(지식) 기운이 해당 부위로 통한다는 생각을 하며 동작을 행하고 동작이 끝나면 숨을 뱉을 것 
다만 숨이 모자라면 억지로 멈추지 말고 알아서 호흡을 조절해가면서 할 것 
동작이 안 된다고 하여 과한 힘을 주지 말고 은은한 힘을 준다고 생각할 것 
절대 무리하지 말 것. 하다가 다칠 삘이면 그냥 안 하고 넘어가는 것이 억지로 하는 것보다 훨씬 좋다. 안 하고 넘어갈 때에는 생각으로만 하면 된다.",537
국선도 단전호흡의 개요,"국선도 단전호흡의 개요
국선도에서는 단전호흡을 돌단자리 숨쉬기라 부른다. 청산선사에 따르면 돌단자리는 하단전의 순 우리말로써 단단한 기운이 돌아가는 자리라 하여 그리 부른다고 한다. 국선도의 단전호흡은 한마디로 정기신 삼단전 이단호흡(精氣神 三丹田 二段呼吸)이라 하며, 정기신 삼단전은 기가 머무르는 상단전, 신이 머무르는 중단전을 모두 정이 머무르는 하단전에 마음으로 모은다는 뜻이다. 이단호흡은 일반적으로 호흡만 하는 것이 아니라 개요에서 설명한 것처럼 호와 흡 사이에 지식(止息)이 들어가기 때문에 호흡과 지식, 2단으로 이루어진 호흡을 한다는 뜻이다.",312
국선도 단전호흡에서 지식에 대한 오해,"지식(止息)에 대한 오해
지식이란 한자 그대로 풀이하면 숨을 그치는 것인데 이것은 일반적으로 우리가 잠수할 때와 같이 숨을 멈추는 것과는 다르다. 호흡을 고요하게 하다보면 평소에 숨쉴 때는 거의 못 느끼지만 호에서 흡으로, 흡에서 호로의 전환이 점점 분명해지게 된다. 이 내쉬는 것도 들이쉬는 것도 아닌 그 잠깐의 상태가 바로 지식의 기초라고 볼 수 있으며 국선도에서 말하는 숨을 멈춘다는 것은 바로 이 상태를 말한다. 마음이 고요한 경지에 들어가고 숨이 점점 깊어질수록 호에서 흡, 또 흡에서 호로 전환되는 시간 또한 점점 길어지는데 건곤단법에 이르러서는 흡 - 지 - 호 - 지 의 길이가 모두 5초씩으로 같아지는 것이다. 또한 원기단법 이상에서는 흡의 길이와 지의 길이가 끝도 없이 늘어나는 것이다. 청산선사는 흡하고 멈출 때 이미 숨은 나가고 있는 것이며 호하고 멈출 때 숨은 이미 들어오고 있는 것이라 한 바 있다.",461
국선도 호흡,"구체적 호흡법
도장마다, 단체마다 처음에 가면 가르치는 방법이 조금씩 다르나 그 요체는 같다고 볼 수 있다. 다만 여기서는 객관성을 위해 청산선사가 직접 국선도 2권에 저술한 호흡법에 대해 기술하고 설명하겠다.
국선도에 입문하면 천천히 준비운동을 하고, 준비 운동이 끝나면 고요히 마음을 가라 앉히는 조심(調心)을 하고 누워서 돌단자리(하단전)로 숨쉬는 것을 연습하게 되는 것이다.
그리고 돌단자리 숨쉬기가 임의로우면 숨을 고르는 조식(調息)을 하게 된다.
숨을 고르는 조식(調息)이 임의로우면 기를 축기시키는 방법으로 천기(공기)와 지기(섭취하는 기)가 돌단자리에 모이도록 기를 모이게 한다는 생각으로 배꼽 위의 상체는 고요한 가운데 거의 없다는 생각을 하고 관원, 중극, 곡골, 전음, 회음, 장강, 신장의 순서대로 돌린다는 염을 하되 그림과 같이 하고, 항문을 움추리는 듯하고 숨을 마실 때에는 은은히 힘이 발에서부터 올라오게 하는 것이다.",473
국선도 호흡의 순서,"이렇게 보면 되게 어렵기는 한데 순서를 정리하여 쉬운 말로 풀어보면 다음과 같다.
마음을 가라앉힌다.
마음이 가라앉으면 하단전으로 숨을 쉰다.
하단전으로 숨쉬는 것이 되면 숨을 고르게 한다.
숨을 고르게 하는 것이 임의로우면 코에서 들어오는 공기와 소장에서 흡수된 영양분이 하단전에 모인다는 생각을 하며 배꼽 위는 없다는 생각을 하고 그 모인 기운이 아랫배 3cm 아래 - 치골 - 회음(성기와 항문 사이) - 꼬리뼈 - 신장과 같은 방향, 즉 몸을 왼쪽에서 보면 반시계 방향으로 기운을 돌린다는 생각을 하되 항문을 살짝 움츠리고 발에 은은한 힘을 준다.",310
국선도 호흡의 순서,"다시 저 순서를 풀어서 설명하면 다음과 같다.
마음을 가라앉힌다는 말이 추상적일 수 있는데 도장에 가보면 대개 눈을 감고 단전에 마음을 두고 그냥 가만히 바라보라고 한다. 처음에는 좀이 쑤시고 좀처럼 집중할 수가 없지만 그걸 참고 조금만 있으면 마음이 고요해지는 단계가 온다. 이것이 조심(調心)이다.
하단전으로 숨을 쉰다는 것 또한 어떻게 하라고? 할 수 있는데 사실 마음이 잘 가라앉으면 저절로 숨이 아랫배까지 내려간다. 물론 삶에 찌든 현대인들은 그런 거 없기 때문에 일선 도장에서는 몇 가지 방편을 쓰는데 대표적으로 쓰는 방법이 꼬리뼈로 숨을 마셔 아랫배를 밀고 숨을 내쉴 때도 숨이 꼬리뼈로 나간다는 생각을 하는 것이다. 꽤 잘 통하는 방법이라고 하니 해보면 좋다.
숨을 고른다는 말은 내쉬는 숨과 마시는 숨의 길이를 같게 하라는 말이다. 이 모든 과정이 중기단법을 하기 위한 과정이니 5초-5초, 선도주 기준으로는 4박자-4박자로 호흡을 하면 된다.
마지막 방법은 기운을 쌓는 방법인데 숨을 마실 때 기운을 돌리되 나선형으로 점점 가운데로 모이게 하고 내쉴 때 가운데 점으로 기운을 꽉 응축시킨다는 생각을 하면 된다.
보통 도장에서는 초급자는 단전행공에 들어가지 않고 바로 누운 자세, 앉은 자세, 선 자세를 번갈아 가며 3번까지 되도록 연습을 시킨다. 그리고 단전행공에 들어간 사람은 누워서 1번부터 4번까지 되도록 하되 안 되면 행공 중에라도 숨을 가다듬어 자기 단법에 맞는 호흡이 될 때까지 가다듬게 된다. 그야말로 고행이다. 원래 산중수련 같았으면 20분이고 30분이고 가만히 마음을 모아 호흡이 바르게 된 뒤에 행공에 들어가는 것이지만 일선 도장에서는 1시간 20분에 맞춰 해야 하기 때문에 그런 거 없이 바로 들어가는 것이다.
국선도 2권에서 청산선사는 이 모든 과정이 된 후에 중기단법을 들어가라고 했으나 일선 도장에서는 사실 2번까지 됐으면 바로 중기단법을 시킨다. 왜냐하면 같은 것을 너무 오래 시키면 사람들이 지루해해서 도장에 안 나오기 때문이다.",994
국선도 호흡시 주의사항,"호흡 시 주의사항
호흡을 힘을 주거나 무리해서 하면 안 된다. 자연스럽게 단전호흡이 되어야 한다. 참을성을 가지고 위의 순서를 잘 지키면 그럴 일은 없다.
마음이 가라앉지 않았는데 아랫배를 내밀려고 하면 본능적으로 힘을 주어 윗배를 눌러 아랫배가 상대적으로 더 나오게 하게 되어 있다. 이렇게 되면 단전호흡의 온갖 부작용들이 나타나는 것이다.
항상 마음을 먼저 가라앉히고, 아랫배로 숨이 잘 쉬어지는지 보고, 천천히 숨의 길이를 조절해 보는 것이다.
항상 내쉬거나 들이쉴 때 최대치의 80%까지만 한다고 생각하는 것이 좋다. 왜냐하면 한계까지 들이쉬거나 내쉬게 되면 저절로 배가 긴장하게 되어 결국 앞에서 마음을 가라앉힌 것이 허사가 되기 때문이다.
위의 지식 설명에서도 설명했지만 항상 호에서 흡, 흡에서 호로 전환될 때는 갑작스럽게 전환하는 것이 아니라 부드럽게 전환되어야 한다.
배꼽 위의 상체는 항상 이완되어 있어야 한다. 배꼽 위의 어디라도 힘이 들어가거나 긴장되면 숨이 아랫배까지 내려가지 않는다. 이 상태에서 억지로 아랫배를 내밀려고 하면 온갖 부작용들이 따라 붙는 것이다.",552
국선도의 단전행공의 단계와 단법,"단전행공
정각도(正覺道) 단계: 중기단법(中氣丹法), 건곤단법(乾坤丹法), 원기단법(元氣丹法)
통기법(通氣法) 단계: 진기단법(眞氣丹法), 삼합단법(三合丹法), 조리단법(造理丹法)
선도법( 道法) 단계: 삼청단법(三淸丹法), 무진단법(無盡丹法), 진공단법(眞空丹法)
국선도 수련의 핵심이자 꽃이다. 다른 모든 수련법은 이 단전행공이 잘 이루어지도록 하는 보조 수련법이라 할 수 있고 수행하고 있는 단전행공의 단계에 따라 띠를 부여 받게 된다.
도장에 처음 가게 되면 바로 중기단법부터 시작하는 것이 아니라 누운 자세, 앉은 자세, 선 자세에서 모두 단전호흡을 원활히 할 수 있도록 호흡을 고르는 법을 먼저 배우게 된다. 세 자세에서 단전호흡이 임의롭게 되면 그때부터 본격적인 단전행공 수련에 들어간다고 보면 된다.
모든 단법 공통적으로 단전행공을 할 때 주의사항이 있다. 한 동작에서 다른 동작으로 전환할 때에는 단전호흡이 끊기지 않도록 고요하고 천천히 바꾸어야 한다. 또한, 동작을 정확하게 하는 것도 중요하나 호흡에 무리가 없도록 하는 것이 중요하다. 정확한 동작을 하기 위해 과도한 힘을 주고 호흡이 깨지면 좋지 않다.",573
국선도의 정각도 단계,"타 수련법과 국선도가 차별점을 두는 단계라고 볼 수 있다. 보통 수련 단체들 같은 경우 바로 정신수련법으로 돌입하나 국선도에서는 이 정각도 단계를 통해 육체를 완전히 가다듬고 닦은 뒤에 본격적인 정신수련법인 통기법으로 넘어가게 되어 있다. 그래서 호흡 수련에서 올 수 있는 각종 부작용이 매우 덜한 편이다.
육체를 단련하는 단법답게 중기단법 50동작, 건곤단법 23동작, 원기단법 360 동작으로 동작 수가 매우 많고 윗 단계로 갈수록 아크로바틱한 동작들을 해내면서 아주 깊은 단전호흡을 해야 한다. 정각도 단계만 놓고 보면 요가와 매우 비슷하다.",306
국선도의 중기단법 단계,"원래 중기단법은 50동작이나 시중 수련장에서 40분 내에 마치는 것은 불가능하므로 전편 25동작, 후편 25동작을 보통 수련하게 되며 집에서 수련하거나 도장 혹은 연수원 등에서 특수 프로그램이 있으면 50동작을 한번에 수련하기도 한다.
중기단법에서는 호의 길이와 흡의 길이를 각 5초로 선도주에 맞추어 동일하게 하며 본격적으로 단전호흡을 배워나가는 단계라고 보면 된다. 이때는 단전자리가 잡히고 아랫배로만 호흡하는 것이 원활히 되고, 호흡이 점점 깊어지며 호와 흡 사이에 지식이 점점 길어지는 것을 느끼게 된다.",286
국선도의 건곤단법,"중기단법의 모든 동작이 임의롭게 되고 지식이 점점 길어져 호흡의 길이와 지식의 길이가 같아지는 단계에 도달하면 건곤단법을 수행하게 된다. 그러나 도장에서는 그냥 일수만(보통 3개월) 채우면 건곤단법으로 승단시켜주기도 하는데 이럴 경우 건곤단법에서 뺑이를 많이 쳐야 한다.
건곤단법에서는 흡-지-호-지의 길이가 모두 각각 5초가 되어 결국 20초에 한번 호흡을 하는 경지이다. 지식이 이 정도로 길어지면 조금씩 기가 쌓이기 시작하는데 곤의 신법에서 하루에 1번 임독유통을 마음으로만(축복받은 체질은 이때 실제 임독유통이 이루어지기도 한다고 한다.) 시도해 보는 것이다.",317
국선도의 원기단법,"원기단법은 360동작으로 이루어져 있다. 청산선사에 따르면 원래는 365 동작이었으나 마지막 5동작은 진기단법에서 주력하여야 하기 때문에 360동작으로 개편했다. 다른 단법과 달리 이 모든 동작을 한번에 다 하는 것은 아니고 한 달의 30일을 의미하는 30절로 나누어 각 12절기를 상징하는 12동작을 차례로 수련하게 된다.
원기단법에서는 흡과 지를 할 수 있는 한 최대한 길게 하고 호와 지 혹은 호는 몸에서 요구하는 대로 한다. 원기단법에서는 임독유통을 자주 시도하며 12경, 14경, 365혈 유통까지 시도하게 된다. 원기단법에서는 흡지가 매우 길어지기 때문에 축기 또한 많이 되어 실제로 기운이 일어나 그것을 움직일 수 있어야 하고 실제적인 임독유통을 할 수 있어야 한다.",380
